Image,MA_pixels,HE_pixels,EX_pixels,SE_pixels,OD_pixels
IDRiD_001.jpg,1444.0,1.0,1223.0,3835.0,97.0
IDRiD_002.jpg,926.0,4.0,611.0,1707.0,377.0
IDRiD_003.jpg,68.0,0.0,0.0,557.0,17.0
IDRiD_004.jpg,1483.0,9.0,1526.0,2064.0,601.0
IDRiD_005.jpg,4424.0,54.0,0.0,6235.0,1166.0
IDRiD_006.jpg,388.0,13.0,0.0,814.0,1464.0
IDRiD_007.jpg,303.0,116.0,0.0,1119.0,501.0
IDRiD_008.jpg,239.0,22.0,10.0,841.0,932.0
IDRiD_009.jpg,285.0,11.0,0.0,889.0,1022.0
IDRiD_010.jpg,606.0,0.0,1583.0,2236.0,0.0
IDRiD_011.jpg,158.0,0.0,443.0,677.0,27.0
IDRiD_012.jpg,20536.0,3227.0,157.0,26309.0,16531.0
IDRiD_013.jpg,12790.0,1791.0,394.0,17912.0,11027.0
IDRiD_014.jpg,140.0,0.0,261.0,673.0,0.0
IDRiD_015.jpg,550.0,23.0,7949.0,1222.0,0.0
IDRiD_016.jpg,219.0,0.0,540.0,755.0,40.0
IDRiD_017.jpg,588.0,0.0,1212.0,1364.0,5.0
IDRiD_018.jpg,47.0,0.0,0.0,398.0,0.0
IDRiD_019.jpg,16.0,0.0,0.0,364.0,0.0
IDRiD_020.jpg,11076.0,653.0,5823.0,17439.0,1858.0
IDRiD_021.jpg,16426.0,70.0,906.0,20286.0,1423.0
IDRiD_022.jpg,7990.0,141.0,3082.0,11711.0,771.0
IDRiD_023.jpg,1060.0,0.0,828.0,1965.0,6.0
IDRiD_024.jpg,1250.0,0.0,1108.0,1808.0,108.0
IDRiD_025.jpg,129.0,0.0,109.0,628.0,0.0
IDRiD_026.jpg,87.0,0.0,28.0,501.0,0.0
IDRiD_027.jpg,518.0,0.0,525.0,962.0,0.0
IDRiD_028.jpg,222.0,0.0,199.0,919.0,75.0
IDRiD_029.jpg,509.0,0.0,750.0,766.0,0.0
IDRiD_030.jpg,16.0,0.0,0.0,393.0,0.0
IDRiD_031.jpg,17.0,4.0,0.0,435.0,0.0
IDRiD_032.jpg,2488.0,26.0,2648.0,4622.0,176.0
IDRiD_033.jpg,3484.0,0.0,4359.0,9280.0,0.0
IDRiD_034.jpg,391.0,14.0,569.0,1409.0,284.0
IDRiD_035.jpg,95.0,1.0,146.0,745.0,0.0
IDRiD_036.jpg,18059.0,49.0,879.0,23641.0,501.0
IDRiD_037.jpg,729.0,0.0,1243.0,2943.0,241.0
IDRiD_038.jpg,24152.0,681.0,1234.0,26920.0,3358.0
IDRiD_039.jpg,2685.0,17.0,1254.0,6103.0,343.0
IDRiD_040.jpg,2223.0,0.0,634.0,3609.0,652.0
IDRiD_041.jpg,142.0,0.0,14.0,596.0,3.0
IDRiD_042.jpg,218.0,0.0,160.0,795.0,33.0
IDRiD_043.jpg,134.0,0.0,133.0,756.0,7.0
IDRiD_044.jpg,119.0,0.0,633.0,973.0,229.0
IDRiD_045.jpg,14961.0,14.0,0.0,17760.0,1934.0
IDRiD_046.jpg,21751.0,2062.0,445.0,28504.0,12561.0
IDRiD_047.jpg,9054.0,3586.0,1154.0,10791.0,6290.0
IDRiD_048.jpg,484.0,43.0,10.0,1224.0,746.0
IDRiD_049.jpg,2293.0,1.0,2249.0,6043.0,97.0
IDRiD_050.jpg,5258.0,1.0,1567.0,5627.0,222.0
IDRiD_051.jpg,113.0,0.0,8.0,705.0,23.0
IDRiD_052.jpg,179.0,0.0,0.0,559.0,0.0
IDRiD_053.jpg,146.0,0.0,708.0,1015.0,162.0
IDRiD_054.jpg,1013.0,0.0,1118.0,3294.0,315.0
IDRiD_055.jpg,10739.0,1382.0,3374.0,12227.0,1155.0
IDRiD_056.jpg,72.0,0.0,114.0,466.0,0.0
IDRiD_057.jpg,6203.0,2162.0,354.0,8371.0,4461.0
IDRiD_058.jpg,274.0,5.0,458.0,1158.0,402.0
IDRiD_059.jpg,1087.0,0.0,903.0,3097.0,118.0
IDRiD_060.jpg,13987.0,739.0,11292.0,31123.0,6006.0
IDRiD_061.jpg,17451.0,4106.0,3512.0,23027.0,14740.0
IDRiD_062.jpg,4206.0,110.0,3452.0,8186.0,908.0
IDRiD_063.jpg,139.0,0.0,690.0,794.0,96.0
IDRiD_064.jpg,415.0,0.0,982.0,752.0,150.0
IDRiD_065.jpg,797.0,0.0,1595.0,1231.0,0.0
IDRiD_066.jpg,4120.0,36.0,2732.0,9915.0,325.0
IDRiD_067.jpg,708.0,0.0,1001.0,1897.0,0.0
IDRiD_068.jpg,356.0,0.0,185.0,1177.0,1.0
IDRiD_069.jpg,613.0,251.0,0.0,1559.0,1349.0
IDRiD_070.jpg,844.0,2.0,116.0,1266.0,339.0
